"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_ELECTRONICS-PURCHASE-URL";"AUTOMOTIVE";"AVAILABILITY";"BUILT_BY";"CENTROID_NOT_SPECIFIED";"COLLECTOR_BASE_VOLTAGE";"COLLECTOR_EMITTER_BREAKDOWN_VOLTAGE";"COLLECTOR_EMITTER_SATURATION_VOLTAGE";"COLLECTOR_EMITTER_VOLTAGE";"DATASHEET";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY-PURCHASE-URL";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"EMITTER_BASE_VOLTAGE";"FOOTPRINT_PARAMETERS_1";"FOOTPRINT_PARAMETERS_2";"FOOTPRINT_PARAMETERS_3";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"FOOTPRINT_VARIANT_NAME_3";"HEIGHT";"HFE_MAX";"HFE_MIN";"HFE_TESTIC";"HFE_TESTVCE";"IPC_LAND_PATTERN_NAME";"LEAD_FREE";"MANUFACTURER_PART_NUMBER";"MAX_COLLECTOR_CURRENT";"MAX_JUNCTION_TEMP";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_COMPONENT_ID";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MOUSER-PURCHASE-URL";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MP";"MPN";"NUMBER_OF_ELEMENTS";"NUMBER_OF_NPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"POWER_DISSIPATION";"PREFIX";"PRICE";"PROD_ID";"ROHS";"RTHJA_MAX";"SF_SKU";"SOURCELIBRARY";"SPICEPREFIX";"STANDOFF_HEIGHT";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VALUE";"VENDOR";"VERIFICATION_VERSION";"VOLTAGE";
"1";"";"HEADER-1X2ROUND";"1X02_ROUND";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"";"LED5MM";"LED5MM";"LED1, LED2, LED5, LED6, LED7, LED8, LED9, LED10";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"93";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"LEDSML0805";"SML0805";"LED3, LED4";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"0.1uF";"C-USC0805";"C0805";"C1, C6, C8, C28";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";
"1";"1 uF";"C-USC0805";"C0805";"C11";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";
"5";"10k";"R-US_R0805";"R0805";"R1, R16, R17, R18, R19";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";
"2";"10uF";"CPOL-USB/3528-21W";"B/3528-21W";"C3, C5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";
"8";"120";"R-US_R0805";"R0805";"R2, R3, R7, R9, R12, R13, R14, R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";
"3";"1k";"R-US_R0805";"R0805";"R5, R6, R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";
"2";"1uF";"C-USC0805";"C0805";"C7, C26";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";
